batch,mrd,cor,average_f1
1,0.01,0.2,0.1414109649051875
1,0.01,0.23,0.14149718451612242
1,0.01,0.26,0.14044816413748698
1,0.01,0.29,0.13898311844090958
1,0.01,0.32,0.1387282664451133
1,0.01,0.35,0.13888632024721304
1,0.01,0.38,0.14192536694380012
1,0.01,0.41,0.1419004582986838
1,0.01,0.44,0.14162928569001204
1,0.01,0.47,0.14213095445176158
1,0.01,0.5,0.14224051793319872
1,0.01,0.53,0.1430618181625704
1,0.01,0.56,0.14211151033804229
1,0.01,0.59,0.14190253086357185
1,0.01,0.62,0.14170159901502843
1,0.01,0.65,0.14064553314883532
1,0.01,0.68,0.14256728845861216
1,0.01,0.71,0.14300739226818934
1,0.01,0.74,0.14199922071593124
1,0.01,0.77,0.1431641758507887
1,0.01,0.8,0.14278378260816812
1,0.01,0.83,0.1415015253224154
1,0.01,0.86,0.14134819751037833
1,0.01,0.89,0.140883705776672
1,0.01,0.92,0.14021752599653878
1,0.02,0.2,0.1114421486622342
1,0.02,0.23,0.11417429190105513
1,0.02,0.26,0.11367811413338438
1,0.02,0.29,0.12153648204026804
1,0.02,0.32,0.1309725445716273
1,0.02,0.35,0.13596764518422688
1,0.02,0.38,0.13670830713195653
1,0.02,0.41,0.13913730327872423
1,0.02,0.44,0.13891333911299072
1,0.02,0.47,0.1383620055674698
1,0.02,0.5,0.13709246544033063
1,0.02,0.53,0.1389132726373219
1,0.02,0.56,0.13964719794588287
1,0.02,0.59,0.14249588270738295
1,0.02,0.62,0.14284540795132175
1,0.02,0.65,0.14095265250133784
1,0.02,0.68,0.14708701735955368
1,0.02,0.71,0.14843542172972252
1,0.02,0.74,0.14677811976330848
1,0.02,0.77,0.14671034002888766
1,0.02,0.8,0.1491155618188112
1,0.02,0.83,0.15087943300131795
1,0.02,0.86,0.14869300013519715
1,0.02,0.89,0.14766474489912298
1,0.02,0.92,0.147946872321728
1,0.03,0.2,0.05373545841713083
1,0.03,0.23,0.06644198379560082
1,0.03,0.26,0.0764460319452658
1,0.03,0.29,0.0761152495310922
1,0.03,0.32,0.08325257254540432
1,0.03,0.35,0.08572665078666368
1,0.03,0.38,0.08805644166534932
1,0.03,0.41,0.08778224414465442
1,0.03,0.44,0.1017950320334828
1,0.03,0.47,0.11339349044666747
1,0.03,0.5,0.11605440255547031
1,0.03,0.53,0.11657425311772872
1,0.03,0.56,0.12095512165095457
1,0.03,0.59,0.12384515932271753
1,0.03,0.62,0.13147553816046964
1,0.03,0.65,0.13127823307800807
1,0.03,0.68,0.1384658090496232
1,0.03,0.71,0.13878843986931846
1,0.03,0.74,0.13803248145809086
1,0.03,0.77,0.1388838664243315
1,0.03,0.8,0.13793513017991965
1,0.03,0.83,0.142318869552962
1,0.03,0.86,0.14419785540425575
1,0.03,0.89,0.1449745522027655
1,0.03,0.92,0.1442602918201154
1,0.04,0.35,0.024736185029039903
1,0.04,0.38,0.03581554387356158
1,0.04,0.41,0.060957083041888196
1,0.04,0.44,0.0652512192436885
1,0.04,0.47,0.06831481681542814
1,0.04,0.5,0.0738911345091156
1,0.04,0.53,0.0794295280580035
1,0.04,0.56,0.09313504599496994
1,0.04,0.59,0.10891322046059801
1,0.04,0.62,0.10866452985984242
1,0.04,0.65,0.1133305387912494
1,0.04,0.68,0.11329860256151292
1,0.04,0.71,0.12145876527468742
1,0.04,0.74,0.12575341506452745
1,0.04,0.77,0.12668469937768526
1,0.04,0.8,0.13161686228110878
1,0.04,0.83,0.1297707750237239
1,0.04,0.86,0.13243941593141845
1,0.04,0.89,0.1354043010819274
1,0.04,0.92,0.13861855146483065
1,0.04,0.95,0.13853706939960309
1,0.04,0.98,0.14012659285604329
1,0.04,1.01,0.14296526799470052
1,0.04,1.04,0.14419726573603978
1,0.04,1.07,0.1401076000160765
1,0.05,0.35,0.01085363483625553
1,0.05,0.38,0.01085363483625553
1,0.05,0.41,0.010846998960054444
1,0.05,0.44,0.010846998960054444
1,0.05,0.47,0.013535661008906059
1,0.05,0.5,0.0349227877777993
1,0.05,0.53,0.0467338379899956
1,0.05,0.56,0.06978616211374829
1,0.05,0.59,0.07293092464994233
1,0.05,0.62,0.07481659330398824
1,0.05,0.65,0.10815824648496686
1,0.05,0.68,0.1127503814102403
1,0.05,0.71,0.11220372206853753
1,0.05,0.74,0.11722709235036531
1,0.05,0.77,0.12562901121253522
1,0.05,0.8,0.12460561127461697
1,0.05,0.83,0.1272091391202631
1,0.05,0.86,0.1281897822657971
1,0.05,0.89,0.12785275994163584
1,0.05,0.92,0.13363264905314018
1,0.05,0.95,0.14102134270201494
1,0.05,0.98,0.1399683416490139
1,0.05,1.01,0.1433568668704232
1,0.05,1.04,0.14468972742811856
1,0.05,1.07,0.14723624458137732
2,0.01,0.2,0.2551213058928924
2,0.01,0.23,0.25385632130966357
2,0.01,0.26,0.2587079026257599
2,0.01,0.29,0.2578461683015313
2,0.01,0.32,0.2576170906880075
2,0.01,0.35,0.25901243872238716
2,0.01,0.38,0.2586087724773783
2,0.01,0.41,0.25795557985450107
2,0.01,0.44,0.26129907283089404
2,0.01,0.47,0.2602522312426188
2,0.01,0.5,0.261944413780838
2,0.01,0.53,0.2630446952477025
2,0.01,0.56,0.26276490095277816
2,0.01,0.59,0.26287294469728334
2,0.01,0.62,0.2653992146680833
2,0.01,0.65,0.2655866955586435
2,0.01,0.68,0.2640699217068144
2,0.01,0.71,0.2640175061616749
2,0.01,0.74,0.2642790516080212
2,0.01,0.77,0.2622690573337031
2,0.01,0.8,0.2603617837201372
2,0.01,0.83,0.2593279701424501
2,0.01,0.86,0.2588126608612159
2,0.01,0.89,0.2575117757263847
2,0.01,0.92,0.2565160908590039
2,0.02,0.2,0.21997299101085915
2,0.02,0.23,0.22286600117058888
2,0.02,0.26,0.2266655420835824
2,0.02,0.29,0.23242014408650927
2,0.02,0.32,0.23807394821011
2,0.02,0.35,0.23954486845243145
2,0.02,0.38,0.24327442824539133
2,0.02,0.41,0.24687767932621885
2,0.02,0.44,0.24624988531524686
2,0.02,0.47,0.2457734542086798
2,0.02,0.5,0.24569482385253713
2,0.02,0.53,0.24724931799346442
2,0.02,0.56,0.24899688884265778
2,0.02,0.59,0.2470037556785883
2,0.02,0.62,0.24601817562494624
2,0.02,0.65,0.24524498889288368
2,0.02,0.68,0.24867546297416107
2,0.02,0.71,0.2474286153797586
2,0.02,0.74,0.24922227325850324
2,0.02,0.77,0.2508450969857708
2,0.02,0.8,0.2548834516101822
2,0.02,0.83,0.2531983689273386
2,0.02,0.86,0.25146344467596077
2,0.02,0.89,0.2517170794984214
2,0.02,0.92,0.2549221657854466
2,0.03,0.2,0.17611444788675962
2,0.03,0.23,0.17674785187153041
2,0.03,0.26,0.1783590373776088
2,0.03,0.29,0.1863240158477728
2,0.03,0.32,0.19923907378085431
2,0.03,0.35,0.196587424809809
2,0.03,0.38,0.20422499665041902
2,0.03,0.41,0.2121584444204371
2,0.03,0.44,0.21821946689467706
2,0.03,0.47,0.22871574087056848
2,0.03,0.5,0.23367654118488976
2,0.03,0.53,0.23191733198951558
2,0.03,0.56,0.2350556409900863
2,0.03,0.59,0.2363308064042112
2,0.03,0.62,0.2401091586361717
2,0.03,0.65,0.24244252534107605
2,0.03,0.68,0.2446953862299372
2,0.03,0.71,0.2471282031373569
2,0.03,0.74,0.24622071050642477
2,0.03,0.77,0.24892771576982994
2,0.03,0.8,0.2524802845723654
2,0.03,0.83,0.25317685690060593
2,0.03,0.86,0.2527930724213383
2,0.03,0.89,0.2583860717214875
2,0.03,0.92,0.26206498018551877
2,0.04,0.35,0.14798924916562672
2,0.04,0.38,0.15273111913687074
2,0.04,0.41,0.1611448317644815
2,0.04,0.44,0.1700185498655484
2,0.04,0.47,0.18113852713332035
2,0.04,0.5,0.18334005167789527
2,0.04,0.53,0.18969512501313276
2,0.04,0.56,0.20311022456045152
2,0.04,0.59,0.21347142906596603
2,0.04,0.62,0.21717072211462113
2,0.04,0.65,0.2234436437897068
2,0.04,0.68,0.2301187945683778
2,0.04,0.71,0.23326348336820465
2,0.04,0.74,0.23682008340049682
2,0.04,0.77,0.24650939840488925
2,0.04,0.8,0.2508079577750451
2,0.04,0.83,0.25067564974506246
2,0.04,0.86,0.254673073359814
2,0.04,0.89,0.2554719939896228
2,0.04,0.92,0.25661844558922725
2,0.04,0.95,0.26406436555020146
2,0.04,0.98,0.26660114169383875
2,0.04,1.01,0.27292648435969813
2,0.04,1.04,0.28315123344826354
2,0.04,1.07,0.2912087709164889
2,0.05,0.35,0.07358873176060318
2,0.05,0.38,0.08153281633267438
2,0.05,0.41,0.1025383975229635
2,0.05,0.44,0.12018492834026813
2,0.05,0.47,0.13029481845015822
2,0.05,0.5,0.14398275563846394
2,0.05,0.53,0.15232999323908417
2,0.05,0.56,0.17519661592020905
2,0.05,0.59,0.179438963770761
2,0.05,0.62,0.1884072712517721
2,0.05,0.65,0.21198115898455866
2,0.05,0.68,0.21380293302412906
2,0.05,0.71,0.21389323227076723
2,0.05,0.74,0.21964723192411809
2,0.05,0.77,0.2243991194226953
2,0.05,0.8,0.23392508204723564
2,0.05,0.83,0.23867947225023553
2,0.05,0.86,0.24238372124413843
2,0.05,0.89,0.24171350558111585
2,0.05,0.92,0.24638658249446438
2,0.05,0.95,0.2517554330216658
2,0.05,0.98,0.25414102027005253
2,0.05,1.01,0.2591125441852126
2,0.05,1.04,0.2627520660005295
2,0.05,1.07,0.2654637944240809
3,0.01,0.2,0.3803691988205203
3,0.01,0.23,0.37888464173403424
3,0.01,0.26,0.3799650206979117
3,0.01,0.29,0.3794738119800521
3,0.01,0.32,0.381146885145685
3,0.01,0.35,0.38343881073005875
3,0.01,0.38,0.38632077780426904
3,0.01,0.41,0.38713743292370484
3,0.01,0.44,0.3864799454321474
3,0.01,0.47,0.3865803584683435
3,0.01,0.5,0.3894960612776267
3,0.01,0.53,0.38916985613774846
3,0.01,0.56,0.38792632477165345
3,0.01,0.59,0.38948139547175753
3,0.01,0.62,0.38877491510242523
3,0.01,0.65,0.3858630016690901
3,0.01,0.68,0.38923334531274045
3,0.01,0.71,0.38892826053907675
3,0.01,0.74,0.3886463766317419
3,0.01,0.77,0.38966538201186296
3,0.01,0.8,0.38679406305314074
3,0.01,0.83,0.38341748012479676
3,0.01,0.86,0.3841588439537419
3,0.01,0.89,0.383632496976726
3,0.01,0.92,0.3815564958454281
3,0.02,0.2,0.3884803528739525
3,0.02,0.23,0.3905741318919687
3,0.02,0.26,0.3954479150973103
3,0.02,0.29,0.39830255757396305
3,0.02,0.32,0.39543222390038907
3,0.02,0.35,0.3998245007257482
3,0.02,0.38,0.4034134216317767
3,0.02,0.41,0.4099698659699231
3,0.02,0.44,0.4111311126017066
3,0.02,0.47,0.41098580900139453
3,0.02,0.5,0.4124666930068166
3,0.02,0.53,0.417856888451079
3,0.02,0.56,0.42403323398414816
3,0.02,0.59,0.42172890870968704
3,0.02,0.62,0.42144767031872915
3,0.02,0.65,0.42364132543489097
3,0.02,0.68,0.42146416638182055
3,0.02,0.71,0.42251438508514977
3,0.02,0.74,0.431823585674073
3,0.02,0.77,0.438668592231349
3,0.02,0.8,0.43652739220546194
3,0.02,0.83,0.43493739014742794
3,0.02,0.86,0.4315591202288767
3,0.02,0.89,0.4380624689287472
3,0.02,0.92,0.4454092964074616
3,0.03,0.2,0.35525697464950357
3,0.03,0.23,0.3580780840215904
3,0.03,0.26,0.36000935611652934
3,0.03,0.29,0.3612321959515639
3,0.03,0.32,0.3660528158880928
3,0.03,0.35,0.37115430719671505
3,0.03,0.38,0.3725902010182715
3,0.03,0.41,0.37974840200641474
3,0.03,0.44,0.38000083066777707
3,0.03,0.47,0.38441420087441636
3,0.03,0.5,0.3889013378909832
3,0.03,0.53,0.38230707091053917
3,0.03,0.56,0.38700893832670363
3,0.03,0.59,0.3951135078100382
3,0.03,0.62,0.40387952085850026
3,0.03,0.65,0.4128175707109835
3,0.03,0.68,0.41600117655054997
3,0.03,0.71,0.4188650090155107
3,0.03,0.74,0.4275429629338719
3,0.03,0.77,0.4391405085336773
3,0.03,0.8,0.44063317170452204
3,0.03,0.83,0.44573051718348033
3,0.03,0.86,0.44546391433899185
3,0.03,0.89,0.45996474617626026
3,0.03,0.92,0.47033033048474693
3,0.04,0.35,0.304861701073884
3,0.04,0.38,0.3201782950223024
3,0.04,0.41,0.3256647750421805
3,0.04,0.44,0.32902277123909196
3,0.04,0.47,0.33098197896775233
3,0.04,0.5,0.3393897318543621
3,0.04,0.53,0.34514653774208187
3,0.04,0.56,0.35893030154468597
3,0.04,0.59,0.3644499189098444
3,0.04,0.62,0.3698168553663007
3,0.04,0.65,0.3691407086807162
3,0.04,0.68,0.38460075770994334
3,0.04,0.71,0.39614304207005013
3,0.04,0.74,0.4068623984190994
3,0.04,0.77,0.41064958674524016
3,0.04,0.8,0.42180984664408905
3,0.04,0.83,0.42878190401459687
3,0.04,0.86,0.44157575010614586
3,0.04,0.89,0.4376177173637204
3,0.04,0.92,0.45124578398713583
3,0.04,0.95,0.46625887536998517
3,0.04,0.98,0.46836549568128355
3,0.04,1.01,0.4699698290122552
3,0.04,1.04,0.48078188812346523
3,0.04,1.07,0.4799022739881146
3,0.05,0.35,0.23360968998216128
3,0.05,0.38,0.2400019484062037
3,0.05,0.41,0.2583803812747802
3,0.05,0.44,0.2727344422593855
3,0.05,0.47,0.2796905624169884
3,0.05,0.5,0.3009524134089278
3,0.05,0.53,0.3080406110481298
3,0.05,0.56,0.31148002790859936
3,0.05,0.59,0.31816784923596064
3,0.05,0.62,0.3223502246978203
3,0.05,0.65,0.3296955335282861
3,0.05,0.68,0.3348555837148505
3,0.05,0.71,0.34223396508751336
3,0.05,0.74,0.3470680604190374
3,0.05,0.77,0.37155257185091634
3,0.05,0.8,0.3874378800910045
3,0.05,0.83,0.39708496239873575
3,0.05,0.86,0.4081488177724672
3,0.05,0.89,0.4095407234362765
3,0.05,0.92,0.4266389107912544
3,0.05,0.95,0.44071350418790406
3,0.05,0.98,0.45425282034432024
3,0.05,1.01,0.460030354865044
3,0.05,1.04,0.4662293086639163
3,0.05,1.07,0.47873776851017075
4,0.01,0.2,0.462183012239833
4,0.01,0.23,0.4627157344888727
4,0.01,0.26,0.4635030545081179
4,0.01,0.29,0.46213566837525594
4,0.01,0.32,0.46186119496238515
4,0.01,0.35,0.46259898540260175
4,0.01,0.38,0.46359622750794977
4,0.01,0.41,0.4622550235089827
4,0.01,0.44,0.4614783290016691
4,0.01,0.47,0.4624214056840488
4,0.01,0.5,0.4615562208833049
4,0.01,0.53,0.460147595066775
4,0.01,0.56,0.45874456299278865
4,0.01,0.59,0.45784152382446097
4,0.01,0.62,0.4563465342577368
4,0.01,0.65,0.45454166831377335
4,0.01,0.68,0.4527487893615376
4,0.01,0.71,0.45197967859622296
4,0.01,0.74,0.450057305371116
4,0.01,0.77,0.44815092534751005
4,0.01,0.8,0.4471574271957904
4,0.01,0.83,0.44664739080888693
4,0.01,0.86,0.4478275667800525
4,0.01,0.89,0.44495354987656704
4,0.01,0.92,0.4434331490463693
4,0.02,0.2,0.5122742957231375
4,0.02,0.23,0.5151681659572731
4,0.02,0.26,0.5228919330259637
4,0.02,0.29,0.530930852361417
4,0.02,0.32,0.5312634229912583
4,0.02,0.35,0.5314275419047231
4,0.02,0.38,0.5302677919157912
4,0.02,0.41,0.5327807010748075
4,0.02,0.44,0.5313407859531262
4,0.02,0.47,0.5378292856872475
4,0.02,0.5,0.5441789242932291
4,0.02,0.53,0.5488461919017931
4,0.02,0.56,0.5446294386537708
4,0.02,0.59,0.5496402612012451
4,0.02,0.62,0.542239017274741
4,0.02,0.65,0.5387894928205713
4,0.02,0.68,0.5388128370763046
4,0.02,0.71,0.5421745998168632
4,0.02,0.74,0.5422761692928257
4,0.02,0.77,0.539023908848532
4,0.02,0.8,0.534098533133639
4,0.02,0.83,0.528269135222394
4,0.02,0.86,0.5335096942598528
4,0.02,0.89,0.5306766488266834
4,0.02,0.92,0.5295348845001053
4,0.03,0.2,0.5016008824079103
4,0.03,0.23,0.5055873209189843
4,0.03,0.26,0.516064506439399
4,0.03,0.29,0.5207841885938735
4,0.03,0.32,0.5238344696577939
4,0.03,0.35,0.5364642209006031
4,0.03,0.38,0.5383876254240265
4,0.03,0.41,0.552056226387093
4,0.03,0.44,0.5542550309464643
4,0.03,0.47,0.5601049357378322
4,0.03,0.5,0.573732610796582
4,0.03,0.53,0.5712777754904981
4,0.03,0.56,0.5701992761103799
4,0.03,0.59,0.5780205183444638
4,0.03,0.62,0.5805400964094188
4,0.03,0.65,0.5822467200267372
4,0.03,0.68,0.5822787834014432
4,0.03,0.71,0.5826456177036132
4,0.03,0.74,0.5862764637444643
4,0.03,0.77,0.5930057279977022
4,0.03,0.8,0.5928509590300195
4,0.03,0.83,0.5926756757247704
4,0.03,0.86,0.5889956235463057
4,0.03,0.89,0.5866607381210994
4,0.03,0.92,0.5986972187885732
4,0.04,0.35,0.43678875753032437
4,0.04,0.38,0.4451579554396308
4,0.04,0.41,0.4481706231707682
4,0.04,0.44,0.45802047992464273
4,0.04,0.47,0.46315524302793337
4,0.04,0.5,0.47783751580265005
4,0.04,0.53,0.479843906261123
4,0.04,0.56,0.5075078304434021
4,0.04,0.59,0.5168984570089654
4,0.04,0.62,0.5374772528874784
4,0.04,0.65,0.5368859699992756
4,0.04,0.68,0.5534642866493007
4,0.04,0.71,0.5618975812012411
4,0.04,0.74,0.5665991635012431
4,0.04,0.77,0.5671451656761832
4,0.04,0.8,0.5745195912859006
4,0.04,0.83,0.5860447156658081
4,0.04,0.86,0.5830986757599399
4,0.04,0.89,0.5770666918602576
4,0.04,0.92,0.5760848729444141
4,0.04,0.95,0.5852712898969701
4,0.04,0.98,0.589550905679428
4,0.04,1.01,0.6016928619559426
4,0.04,1.04,0.6041179575715873
4,0.04,1.07,0.6029021841890605
4,0.05,0.35,0.32836275765552125
4,0.05,0.38,0.3509551654775621
4,0.05,0.41,0.353922077506089
4,0.05,0.44,0.37347826989007205
4,0.05,0.47,0.3844367677340572
4,0.05,0.5,0.38845453094952465
4,0.05,0.53,0.40364935312840206
4,0.05,0.56,0.41496907080813733
4,0.05,0.59,0.42695559141361616
4,0.05,0.62,0.4359373605065705
4,0.05,0.65,0.44320387947507583
4,0.05,0.68,0.47296330130867625
4,0.05,0.71,0.49656653092485664
4,0.05,0.74,0.5090341684449948
4,0.05,0.77,0.5092888131210475
4,0.05,0.8,0.5287705307355614
4,0.05,0.83,0.5385046465078555
4,0.05,0.86,0.5522270665369637
4,0.05,0.89,0.5580911475988451
4,0.05,0.92,0.5593772492904157
4,0.05,0.95,0.5633129982977177
4,0.05,0.98,0.5652832649723148
4,0.05,1.01,0.5748694286908566
4,0.05,1.04,0.5819663577256379
4,0.05,1.07,0.5852262482851847
5,0.01,0.2,0.49886066361409964
5,0.01,0.23,0.49612432684685237
5,0.01,0.26,0.4953606769560389
5,0.01,0.29,0.4929543701794021
5,0.01,0.32,0.49153061429310924
5,0.01,0.35,0.49105087509717393
5,0.01,0.38,0.4889025281014203
5,0.01,0.41,0.4904187711601165
5,0.01,0.44,0.4887017928666075
5,0.01,0.47,0.4869308713244385
5,0.01,0.5,0.4866763986224617
5,0.01,0.53,0.48581921433571573
5,0.01,0.56,0.48236862597852453
5,0.01,0.59,0.4812407882142273
5,0.01,0.62,0.4785780475765053
5,0.01,0.65,0.47676383649712595
5,0.01,0.68,0.47454180516359984
5,0.01,0.71,0.47184863811618355
5,0.01,0.74,0.4720886728877333
5,0.01,0.77,0.47001782997135866
5,0.01,0.8,0.46747866720599357
5,0.01,0.83,0.46511681450104225
5,0.01,0.86,0.46229950552252547
5,0.01,0.89,0.4595984770790767
5,0.01,0.92,0.45783030129175917
5,0.02,0.2,0.6075090521555007
5,0.02,0.23,0.6060262198638883
5,0.02,0.26,0.6171836126981665
5,0.02,0.29,0.6178875724490538
5,0.02,0.32,0.6178261230636988
5,0.02,0.35,0.6189877205808684
5,0.02,0.38,0.6162758577524831
5,0.02,0.41,0.6117630826975288
5,0.02,0.44,0.609196518076702
5,0.02,0.47,0.6059798883272284
5,0.02,0.5,0.604942036569762
5,0.02,0.53,0.603181774211037
5,0.02,0.56,0.6005770838571315
5,0.02,0.59,0.5955523481998597
5,0.02,0.62,0.5920332586371863
5,0.02,0.65,0.58695917298565
5,0.02,0.68,0.5865902984794642
5,0.02,0.71,0.5864911882269029
5,0.02,0.74,0.5910538599118135
5,0.02,0.77,0.588129338196329
5,0.02,0.8,0.5819264393335422
5,0.02,0.83,0.5795083110744157
5,0.02,0.86,0.5782958025746936
5,0.02,0.89,0.5770324039585809
5,0.02,0.92,0.5761300369777712
5,0.03,0.2,0.6047706542337464
5,0.03,0.23,0.6044261350303151
5,0.03,0.26,0.6179269238020071
5,0.03,0.29,0.6253934625613086
5,0.03,0.32,0.6366048822164093
5,0.03,0.35,0.6388650411382567
5,0.03,0.38,0.639911120676491
5,0.03,0.41,0.6403234209162098
5,0.03,0.44,0.6374807680167266
5,0.03,0.47,0.6518862566503065
5,0.03,0.5,0.6536512258520152
5,0.03,0.53,0.6499634877820617
5,0.03,0.56,0.6461466848076517
5,0.03,0.59,0.6415208579934415
5,0.03,0.62,0.6431664925316986
5,0.03,0.65,0.645732801429662
5,0.03,0.68,0.6433934311447115
5,0.03,0.71,0.6428618079452647
5,0.03,0.74,0.6414905758235901
5,0.03,0.77,0.6445364172755834
5,0.03,0.8,0.6470765106388502
5,0.03,0.83,0.6505312401696342
5,0.03,0.86,0.6468077397009248
5,0.03,0.89,0.6456566022646529
5,0.03,0.92,0.6439054373289597
5,0.04,0.35,0.5500861065383184
5,0.04,0.38,0.5618047447156593
5,0.04,0.41,0.5714009486628601
5,0.04,0.44,0.5795277641040767
5,0.04,0.47,0.5947002141265421
5,0.04,0.5,0.6008224029415523
5,0.04,0.53,0.611007675339802
5,0.04,0.56,0.6108435027715711
5,0.04,0.59,0.6279852684065509
5,0.04,0.62,0.6370295561966064
5,0.04,0.65,0.6427154240706815
5,0.04,0.68,0.6368437303425395
5,0.04,0.71,0.6409387517508056
5,0.04,0.74,0.6444621432389336
5,0.04,0.77,0.6445660951756188
5,0.04,0.8,0.6447431341472064
5,0.04,0.83,0.642236834083013
5,0.04,0.86,0.6524814149467744
5,0.04,0.89,0.6591717710178784
5,0.04,0.92,0.6587451366820876
5,0.04,0.95,0.659703994260216
5,0.04,0.98,0.6595736307530566
5,0.04,1.01,0.6618718942184815
5,0.04,1.04,0.6550168830487172
5,0.04,1.07,0.651959802716922
5,0.05,0.35,0.449525042705396
5,0.05,0.38,0.45889222831321697
5,0.05,0.41,0.4804185014386304
5,0.05,0.44,0.49874089426157
5,0.05,0.47,0.5044624923845145
5,0.05,0.5,0.5201273355317734
5,0.05,0.53,0.5310351494721403
5,0.05,0.56,0.5523330850767062
5,0.05,0.59,0.5630191556169581
5,0.05,0.62,0.5749247051594827
5,0.05,0.65,0.5864418204958997
5,0.05,0.68,0.5914672706340173
5,0.05,0.71,0.6076162444228828
5,0.05,0.74,0.6285701779405848
5,0.05,0.77,0.6250822325171884
5,0.05,0.8,0.6223764353458183
5,0.05,0.83,0.6267998929534228
5,0.05,0.86,0.6248448200239295
5,0.05,0.89,0.6184051705113057
5,0.05,0.92,0.6361328768295927
5,0.05,0.95,0.6351623905731903
5,0.05,0.98,0.6337969789439075
