batch,mrd,ii,average_f1
1,0.01,0.01,0.14086989057916213
1,0.01,0.02,0.1413473472860968
1,0.01,0.04,0.1407827352112261
1,0.01,0.06,0.13778969249471
1,0.01,0.08,0.13847887165214243
1,0.01,0.1,0.13940989485461067
1,0.01,0.12,0.1403628232060607
1,0.01,0.14,0.139798201649789
1,0.01,0.16,0.14077052310306923
1,0.01,0.18,0.14118563872742146
1,0.01,0.2,0.13797231991284795
1,0.01,0.22,0.1382984863312953
1,0.01,0.24,0.14046353839929873
1,0.01,0.26,0.1409635380503827
1,0.01,0.28,0.14208538255020167
1,0.01,0.3,0.14303184729487553
1,0.01,0.32,0.1427175769901738
1,0.01,0.34,0.14259717259523555
1,0.01,0.36,0.1396589532071514
1,0.01,0.38,0.14060393799309345
1,0.01,0.4,0.14120428556484177
1,0.01,0.42,0.14016410456609454
1,0.01,0.44,0.14055821244733682
1,0.01,0.46,0.14033306278884025
1,0.01,0.48,0.13773397682353414
1,0.01,0.5,0.13565315664592023
1,0.01,0.52,0.1363384009979584
1,0.01,0.54,0.1376262587824066
1,0.01,0.56,0.13732197833235435
1,0.01,0.58,0.1375527779587084
1,0.02,0.01,0.13811165570050557
1,0.02,0.02,0.13816146641977234
1,0.02,0.04,0.13542814108525295
1,0.02,0.06,0.13569517203157147
1,0.02,0.08,0.13581360705566686
1,0.02,0.1,0.13640558836026928
1,0.02,0.12,0.13572549688671273
1,0.02,0.14,0.13486610418082237
1,0.02,0.16,0.13190871069711307
1,0.02,0.18,0.13126630412414483
1,0.02,0.2,0.13213714808511753
1,0.02,0.22,0.1336249435241304
1,0.02,0.24,0.1338861765439841
1,0.02,0.26,0.13415348475034605
1,0.02,0.28,0.13470288895906385
1,0.02,0.3,0.13379412419924144
1,0.02,0.32,0.13063864514014792
1,0.02,0.34,0.13063864514014792
1,0.02,0.36,0.13093354489569894
1,0.02,0.38,0.13104899019386848
1,0.02,0.4,0.13198241207334224
1,0.02,0.42,0.13222797978832249
1,0.02,0.44,0.1324860776073959
1,0.02,0.46,0.13379774557117327
1,0.02,0.48,0.13261740853180543
1,0.02,0.5,0.13288865627140758
1,0.02,0.52,0.13306570144845278
1,0.02,0.54,0.13399999430073334
1,0.02,0.56,0.13453717310694654
1,0.02,0.58,0.13195371399484188
1,0.03,0.01,0.09502509680456184
1,0.03,0.02,0.09525960921417684
1,0.03,0.04,0.09783481651228597
1,0.03,0.06,0.09789075665633183
1,0.03,0.08,0.0987707739352099
1,0.03,0.1,0.0987991186064117
1,0.03,0.12,0.0988277174899113
1,0.03,0.14,0.0988277174899113
1,0.03,0.16,0.09934255154454953
1,0.03,0.18,0.09934255154454953
1,0.03,0.2,0.10741764623222028
1,0.03,0.22,0.10741764623222028
1,0.03,0.24,0.10741764623222028
1,0.03,0.26,0.10744702861454383
1,0.03,0.28,0.10772855792364353
1,0.03,0.3,0.10365973266579387
1,0.03,0.32,0.10365973266579387
1,0.03,0.34,0.10503506196999347
1,0.03,0.36,0.10503506196999347
1,0.03,0.38,0.10587207266177594
1,0.03,0.4,0.1067064319894788
1,0.03,0.42,0.1067064319894788
1,0.03,0.44,0.1131408565631326
1,0.03,0.46,0.1131408565631326
1,0.03,0.48,0.11317077930261925
1,0.03,0.5,0.11317077930261925
1,0.03,0.52,0.11748709978457612
1,0.03,0.54,0.11414376667996798
1,0.03,0.56,0.11519705656509356
1,0.03,0.58,0.11519705656509356
1,0.04,0.01,0.09470006898531184
1,0.04,0.02,0.09580296907811094
1,0.04,0.04,0.10979651063622366
1,0.04,0.06,0.10979651063622366
1,0.04,0.08,0.10951115304749529
1,0.04,0.1,0.11196707098351331
1,0.04,0.12,0.11208000332763993
1,0.04,0.14,0.11621254098088629
1,0.04,0.16,0.12046511980931955
1,0.04,0.18,0.12153484793292801
1,0.04,0.2,0.12225558245897228
1,0.04,0.22,0.12563564433527477
1,0.04,0.24,0.12563564433527477
1,0.04,0.26,0.1255309203739771
1,0.04,0.28,0.1252579014674178
1,0.04,0.3,0.1255309203739771
1,0.04,0.32,0.12428249005638652
1,0.04,0.34,0.12529706911635694
1,0.04,0.36,0.12529706911635694
1,0.04,0.38,0.12730254056563706
1,0.04,0.4,0.1267623741268531
1,0.04,0.42,0.12681205780742016
1,0.04,0.44,0.12681205780742016
1,0.04,0.46,0.12556849862423655
1,0.04,0.48,0.12561468501872813
1,0.04,0.5,0.12763173442290587
1,0.04,0.52,0.12763173442290587
1,0.04,0.54,0.12763173442290587
1,0.04,0.56,0.12889578238117405
1,0.04,0.58,0.13093997509091113
1,0.05,0.01,0.09902116664024153
1,0.05,0.02,0.09902116664024153
1,0.05,0.04,0.10155958980719008
1,0.05,0.06,0.10197463600824944
1,0.05,0.08,0.10972433891021385
1,0.05,0.1,0.10976709725504323
1,0.05,0.12,0.1098023561138315
1,0.05,0.14,0.11612554112554109
1,0.05,0.16,0.12338925734500061
1,0.05,0.18,0.12338925734500061
1,0.05,0.2,0.12327181328902496
1,0.05,0.22,0.12528941823126433
1,0.05,0.24,0.12528941823126433
1,0.05,0.26,0.126793227138441
1,0.05,0.28,0.13097272025685308
1,0.05,0.3,0.12910060044118488
1,0.05,0.32,0.13270756257111976
1,0.05,0.34,0.13270756257111976
1,0.05,0.36,0.13201642408352512
1,0.05,0.38,0.13349438727339918
1,0.05,0.4,0.1332207894621817
1,0.05,0.42,0.1344181808198007
1,0.05,0.44,0.13605556371319136
1,0.05,0.46,0.13739925248214027
1,0.05,0.48,0.13831362124826152
1,0.05,0.5,0.14034124851270968
1,0.05,0.52,0.14006765070149219
1,0.05,0.54,0.1413686190228152
1,0.05,0.56,0.14180743781709754
1,0.05,0.58,0.14180743781709754
2,0.01,0.01,0.2550973473378742
2,0.01,0.02,0.25574744590961784
2,0.01,0.04,0.25369861727975845
2,0.01,0.06,0.25210276183993613
2,0.01,0.08,0.25309916498807483
2,0.01,0.1,0.25507926872903713
2,0.01,0.12,0.25538787184227213
2,0.01,0.14,0.25616816977236284
2,0.01,0.16,0.25803718125275293
2,0.01,0.18,0.25835931628257547
2,0.01,0.2,0.25703546933436505
2,0.01,0.22,0.2566608997686081
2,0.01,0.24,0.25623713872768494
2,0.01,0.26,0.2531404020767395
2,0.01,0.28,0.25403597671166767
2,0.01,0.3,0.25566805365673534
2,0.01,0.32,0.2525228428180767
2,0.01,0.34,0.2549348489263545
2,0.01,0.36,0.2546886935284317
2,0.01,0.38,0.25489101572809353
2,0.01,0.4,0.25253192699363514
2,0.01,0.42,0.25533740448365927
2,0.01,0.44,0.25801764340811373
2,0.01,0.46,0.25519657783552774
2,0.01,0.48,0.2531876182035939
2,0.01,0.5,0.2530760851627247
2,0.01,0.52,0.2513277436488178
2,0.01,0.54,0.2517526730797126
2,0.01,0.56,0.24650857497366324
2,0.01,0.58,0.24685886412130653
2,0.02,0.01,0.2469105942660777
2,0.02,0.02,0.24744967782402916
2,0.02,0.04,0.24749349570414572
2,0.02,0.06,0.24782981269722135
2,0.02,0.08,0.24758921365156228
2,0.02,0.1,0.2479162628750635
2,0.02,0.12,0.24587524381028647
2,0.02,0.14,0.24040158761386382
2,0.02,0.16,0.24052951279968618
2,0.02,0.18,0.2385890787955931
2,0.02,0.2,0.2400534645878535
2,0.02,0.22,0.2410048941107116
2,0.02,0.24,0.24038799702000505
2,0.02,0.26,0.24038799702000505
2,0.02,0.28,0.2408615750850235
2,0.02,0.3,0.23889024904423276
2,0.02,0.32,0.23889024904423276
2,0.02,0.34,0.23956338602797797
2,0.02,0.36,0.23758109449897044
2,0.02,0.38,0.23931772868919884
2,0.02,0.4,0.23723634298020477
2,0.02,0.42,0.23791881230119682
2,0.02,0.44,0.23883055163460254
2,0.02,0.46,0.23923859099859013
2,0.02,0.48,0.24005249450040458
2,0.02,0.5,0.2416683765540431
2,0.02,0.52,0.24043649519462126
2,0.02,0.54,0.2416110517752444
2,0.02,0.56,0.24210166601287994
2,0.02,0.58,0.24299545571906211
2,0.03,0.01,0.22333558319210942
2,0.03,0.02,0.22343677728237457
2,0.03,0.04,0.22413012392796347
2,0.03,0.06,0.22493936791152488
2,0.03,0.08,0.22305736372126408
2,0.03,0.1,0.22504502100757978
2,0.03,0.12,0.2261308946875957
2,0.03,0.14,0.2261308946875957
2,0.03,0.16,0.22631427738363502
2,0.03,0.18,0.2274781572232702
2,0.03,0.2,0.2269852634335136
2,0.03,0.22,0.23086404453643253
2,0.03,0.24,0.2276939763081897
2,0.03,0.26,0.2276939763081897
2,0.03,0.28,0.2276939763081897
2,0.03,0.3,0.2276939763081897
2,0.03,0.32,0.2276939763081897
2,0.03,0.34,0.2313506148330117
2,0.03,0.36,0.22982694984691676
2,0.03,0.38,0.23099483849483846
2,0.03,0.4,0.2390953655930234
2,0.03,0.42,0.23232496101723785
2,0.03,0.44,0.231255076996684
2,0.03,0.46,0.23059718225984188
2,0.03,0.48,0.22943416617145268
2,0.03,0.5,0.22943416617145268
2,0.03,0.52,0.2300920609082948
2,0.03,0.54,0.23021869383994845
2,0.03,0.56,0.23156521007483108
2,0.03,0.58,0.23116304733297488
2,0.04,0.01,0.23451718697007332
2,0.04,0.02,0.24319406735063656
2,0.04,0.04,0.24702918421744005
2,0.04,0.06,0.2484207775957497
2,0.04,0.08,0.25022458288361726
2,0.04,0.1,0.2545355777263672
2,0.04,0.12,0.2545355777263672
2,0.04,0.14,0.2553753919898268
2,0.04,0.16,0.2584942905733722
2,0.04,0.18,0.2584942905733722
2,0.04,0.2,0.25525457487577236
2,0.04,0.22,0.25747306689018273
2,0.04,0.24,0.25762304814252623
2,0.04,0.26,0.2572179141291005
2,0.04,0.28,0.2580138955902346
2,0.04,0.3,0.25755347301060666
2,0.04,0.32,0.25875812153668376
2,0.04,0.34,0.25638589059302425
2,0.04,0.36,0.2585168830399433
2,0.04,0.38,0.25871292897785275
2,0.04,0.4,0.25847576438562575
2,0.04,0.42,0.25916178887371727
2,0.04,0.44,0.25931295574860885
2,0.04,0.46,0.25999456850365804
2,0.04,0.48,0.2621657244857019
2,0.04,0.5,0.2618491542612285
2,0.04,0.52,0.2625135389110544
2,0.04,0.54,0.2602829336953746
2,0.04,0.56,0.2609431133790624
2,0.04,0.58,0.2610238236292642
2,0.05,0.01,0.22882718227578572
2,0.05,0.02,0.23288718249524523
2,0.05,0.04,0.2357551772269789
2,0.05,0.06,0.23624454578748258
2,0.05,0.08,0.2451861504134483
2,0.05,0.1,0.2444040186675791
2,0.05,0.12,0.24616468943632502
2,0.05,0.14,0.2509131412209585
2,0.05,0.16,0.25067106445714255
2,0.05,0.18,0.2536285519845916
2,0.05,0.2,0.2544705005102808
2,0.05,0.22,0.2543188022002948
2,0.05,0.24,0.2528444027278317
2,0.05,0.26,0.2535256741506245
2,0.05,0.28,0.253950346723553
2,0.05,0.3,0.2546214576358164
2,0.05,0.32,0.2552634529089254
2,0.05,0.34,0.25608455871613767
2,0.05,0.36,0.25591692682914713
2,0.05,0.38,0.25823375560505607
2,0.05,0.4,0.259249785363812
2,0.05,0.42,0.26050636276112604
2,0.05,0.44,0.26148589567858754
2,0.05,0.46,0.26148589567858754
2,0.05,0.48,0.2620996606307326
2,0.05,0.5,0.26351315410835435
2,0.05,0.52,0.26327021301868864
2,0.05,0.54,0.2628687316760711
2,0.05,0.56,0.26368143704226044
2,0.05,0.58,0.2724226718954034
3,0.01,0.01,0.378821755740374
3,0.01,0.02,0.37561198676136914
3,0.01,0.04,0.37708777533953036
3,0.01,0.06,0.3741546126079934
3,0.01,0.08,0.3732218626456064
3,0.01,0.1,0.3754986829372074
3,0.01,0.12,0.3792021372595033
3,0.01,0.14,0.37651312941524234
3,0.01,0.16,0.3793032480065217
3,0.01,0.18,0.37885672656376024
3,0.01,0.2,0.3799803156965071
3,0.01,0.22,0.3804117713934307
3,0.01,0.24,0.3784127072827793
3,0.01,0.26,0.37897183571615944
3,0.01,0.28,0.3802043328508323
3,0.01,0.3,0.3811680312279329
3,0.01,0.32,0.3823944413878474
3,0.01,0.34,0.3817845085556911
3,0.01,0.36,0.3849510483355389
3,0.01,0.38,0.38650539508890597
3,0.01,0.4,0.3885805860820626
3,0.01,0.42,0.3875326782907656
3,0.01,0.44,0.39066577837705047
3,0.01,0.46,0.38690445289249265
3,0.01,0.48,0.3867860943517167
3,0.01,0.5,0.385132956516053
3,0.01,0.52,0.38550134932258256
3,0.01,0.54,0.3865601638518991
3,0.01,0.56,0.3844765531087872
3,0.01,0.58,0.3846947843448231
3,0.02,0.01,0.4100742215707283
3,0.02,0.02,0.41032422486024533
3,0.02,0.04,0.4111879495215809
3,0.02,0.06,0.4119971572465202
3,0.02,0.08,0.4130137148107478
3,0.02,0.1,0.4105941492925327
3,0.02,0.12,0.40988599763726025
3,0.02,0.14,0.4099770690825793
3,0.02,0.16,0.4099770690825793
3,0.02,0.18,0.4095082782493738
3,0.02,0.2,0.4076474593596907
3,0.02,0.22,0.401358601334847
3,0.02,0.24,0.402104530260827
3,0.02,0.26,0.402353634604759
3,0.02,0.28,0.40280955837341986
3,0.02,0.3,0.4017036843531808
3,0.02,0.32,0.40104766984099893
3,0.02,0.34,0.40115054552029816
3,0.02,0.36,0.3949184850377791
3,0.02,0.38,0.3915105449748137
3,0.02,0.4,0.39245778649518426
3,0.02,0.42,0.39373897551967574
3,0.02,0.44,0.39161161288750296
3,0.02,0.46,0.3906871753619256
3,0.02,0.48,0.38853940903890155
3,0.02,0.5,0.3894878198993087
3,0.02,0.52,0.3913086126997141
3,0.02,0.54,0.3931392076379182
3,0.02,0.56,0.39397107453921404
3,0.02,0.58,0.39404581748855305
3,0.03,0.01,0.3879344987677498
3,0.03,0.02,0.3879344987677498
3,0.03,0.04,0.3882309597645999
3,0.03,0.06,0.38778627991442904
3,0.03,0.08,0.38809874085681123
3,0.03,0.1,0.3872733440314144
3,0.03,0.12,0.3872733440314144
3,0.03,0.14,0.38269292747277645
3,0.03,0.16,0.3810617766332692
3,0.03,0.18,0.38173288754553264
3,0.03,0.2,0.3814369677851594
3,0.03,0.22,0.3814369677851594
3,0.03,0.24,0.37588276594551917
3,0.03,0.26,0.37588276594551917
3,0.03,0.28,0.375614237481502
3,0.03,0.3,0.37709256465393637
3,0.03,0.32,0.3796165312887242
3,0.03,0.34,0.382258782067621
3,0.03,0.36,0.384687342879745
3,0.03,0.38,0.384687342879745
3,0.03,0.4,0.3837206879574839
3,0.03,0.42,0.38289548529741885
3,0.03,0.44,0.383059819938458
3,0.03,0.46,0.383059819938458
3,0.03,0.48,0.385323296236566
3,0.03,0.5,0.385323296236566
3,0.03,0.52,0.38558408720371523
3,0.03,0.54,0.3865994876792655
3,0.03,0.56,0.3869225477038181
3,0.03,0.58,0.38777903559962884
3,0.04,0.01,0.3802573395060226
3,0.04,0.02,0.38464659390262007
3,0.04,0.04,0.3838614963467632
3,0.04,0.06,0.3951574530747533
3,0.04,0.08,0.39831427169490474
3,0.04,0.1,0.39819136529226096
3,0.04,0.12,0.40589471803273763
3,0.04,0.14,0.407949728842586
3,0.04,0.16,0.4075537173685566
3,0.04,0.18,0.4112365424799531
3,0.04,0.2,0.41183030923686187
3,0.04,0.22,0.41347479534284476
3,0.04,0.24,0.4163360811083224
3,0.04,0.26,0.4189211490251235
3,0.04,0.28,0.41975155949057047
3,0.04,0.3,0.4208424564401341
3,0.04,0.32,0.42764746065184295
3,0.04,0.34,0.426944836098924
3,0.04,0.36,0.42965171471250946
3,0.04,0.38,0.4309918484832907
3,0.04,0.4,0.4309918484832907
3,0.04,0.42,0.43440254745671864
3,0.04,0.44,0.4351865916209598
3,0.04,0.46,0.4384010860686512
3,0.04,0.48,0.4385015359108169
3,0.04,0.5,0.43820027524756267
3,0.04,0.52,0.43676380322285535
3,0.04,0.54,0.44485685225298005
3,0.04,0.56,0.4357615371690788
3,0.04,0.58,0.43946152462674837
3,0.05,0.01,0.3958134711692966
3,0.05,0.02,0.39643483256652007
3,0.05,0.04,0.3980454312921116
3,0.05,0.06,0.4003277269174716
3,0.05,0.08,0.40429862761920454
3,0.05,0.1,0.4067043178646051
3,0.05,0.12,0.40664760884177825
3,0.05,0.14,0.40695089011182695
3,0.05,0.16,0.4072299988246706
3,0.05,0.18,0.40899795097430214
3,0.05,0.2,0.4125939700161289
3,0.05,0.22,0.412346302017321
3,0.05,0.24,0.4205873822304413
3,0.05,0.26,0.42062459214593456
3,0.05,0.28,0.4269649112222901
3,0.05,0.3,0.4258637656823252
3,0.05,0.32,0.43190215208622457
3,0.05,0.34,0.4444279525465749
3,0.05,0.36,0.4447163884907001
3,0.05,0.38,0.4458062957310352
3,0.05,0.4,0.4566919866901445
3,0.05,0.42,0.46231338013491247
3,0.05,0.44,0.4620204115984215
3,0.05,0.46,0.46915077290064267
3,0.05,0.48,0.47246671114808775
3,0.05,0.5,0.4736309557157181
3,0.05,0.52,0.4736096216133463
3,0.05,0.54,0.4741302277677552
3,0.05,0.56,0.48403236700649827
3,0.05,0.58,0.48590742374813795
4,0.01,0.01,0.4591735730764527
4,0.01,0.02,0.459917384801702
4,0.01,0.04,0.46123920891514303
4,0.01,0.06,0.46313700538928076
4,0.01,0.08,0.4613581327165711
4,0.01,0.1,0.46256849695805685
4,0.01,0.12,0.4582595634059224
4,0.01,0.14,0.45767008191005687
4,0.01,0.16,0.4578529862744244
4,0.01,0.18,0.46201607677644113
4,0.01,0.2,0.46029076188570744
4,0.01,0.22,0.45924621526239184
4,0.01,0.24,0.45991933858382456
4,0.01,0.26,0.4615830641650174
4,0.01,0.28,0.4604519395869066
4,0.01,0.3,0.45963865012795146
4,0.01,0.32,0.46081056142353355
4,0.01,0.34,0.46199062213740405
4,0.01,0.36,0.46532179562052084
4,0.01,0.38,0.46584333123386645
4,0.01,0.4,0.46710343194211656
4,0.01,0.42,0.4692326466017391
4,0.01,0.44,0.46497647298870953
4,0.01,0.46,0.4660916316771786
4,0.01,0.48,0.46480306206284777
4,0.01,0.5,0.4667686747807037
4,0.01,0.52,0.4679927833628802
4,0.01,0.54,0.4678013772116154
4,0.01,0.56,0.47096187858901783
4,0.01,0.58,0.4718374150736699
4,0.02,0.01,0.5398761148898406
4,0.02,0.02,0.5398761148898406
4,0.02,0.04,0.5375847205049487
4,0.02,0.06,0.5395733515586387
4,0.02,0.08,0.538140799683478
4,0.02,0.1,0.5383297534903809
4,0.02,0.12,0.5399261325821938
4,0.02,0.14,0.5402144084045006
4,0.02,0.16,0.5401972017060386
4,0.02,0.18,0.53897087852475
4,0.02,0.2,0.5409780166368784
4,0.02,0.22,0.5376686988859689
4,0.02,0.24,0.5349963025455644
4,0.02,0.26,0.5323207642455772
